UniqueDBIdentifier	Identifier	PosNeg	m/z	Retention time (min)	MultipleRetentionTimes	KEGG ID	HMDB	PubChem	Identity	Formula	Note	Conflict_flag_old	Conflict_1_old	Conflict_2_old
4A10_104.070605_4.43_Pos	4A10	Pos	104.070605	4.43		C03665	HMDB0001906	6119	2-Amino-2-methylpropanoate	C4H9NO2		1	HMDB; Identity; KEGG ID	PubChem
5H2_108.045488_4.31_Neg	5H2	Neg	108.045488	4.31		C01987		5801	2-Aminophenol	C6H7NO				
4A1_250.094563_1.93_Neg	4A1	Neg	250.094563	1.93		C00559	HMDB0000101	13730	2'-Deoxyadenosine	C10H13N5O3				
4A1_252.109115_1.97_Pos	4A1	Pos	252.109115	1.97		C00559	HMDB0000101	13730	2'-Deoxyadenosine	C10H13N5O3				
4G7_489.993556_5.83_Neg	4G7	Neg	489.993556	5.83		C00131	HMDB0001532	15993	2'-Deoxyadenosine 5'-triphosphate	C10H16N5O12P3				
4G7_492.008108_5.9_Pos	4G7	Pos	492.008108	5.9		C00131	HMDB0001532	15993	2'-Deoxyadenosine 5'-triphosphate	C10H16N5O12P3				
4G2_386.015992_6.02_Neg	4G2	Neg	386.015992	6.02		C00705	HMDB0001245	3083864	2'-Deoxycytidine 5'-diphosphate	C9H15N3O10P2				
4G2_388.030544_6.06_Pos	4G2	Pos	388.030544	6.06		C00705	HMDB0001245	3083864	2'-Deoxycytidine 5'-diphosphate	C9H15N3O10P2				
1F6_306.049661_5.24_Neg	1F6	Neg	306.049661	5.24		C00239	HMDB0001202	13945	2'-Deoxycytidine 5'-monophosphate	C9H14N3O7P				
1F6_308.064213_5.37_Pos	1F6	Pos	308.064213	5.37		C00239	HMDB0001202	13945	2'-Deoxycytidine 5'-monophosphate	C9H14N3O7P				
2C3_163.061198_4.53_Neg	2C3	Neg	163.061198	4.53		C00586	HMDB0062477	108223	2-Deoxy-D-Glucose	C6H12O5				
2C3_165.07575_4.58_Pos	2C3	Pos	165.07575	4.58		C00586	HMDB0062477	108223	2-Deoxy-D-Glucose	C6H12O5				
3D9_266.089478_3.23_Neg	3D9	Neg	266.089478	3.23		C00330	HMDB0000085	135402018	2'-Deoxyguanosine	C10H13N5O4				
3D9_268.10403_3.24_Pos	3D9	Pos	268.10403	3.24		C00330	HMDB0000085	135402018	2'-Deoxyguanosine	C10H13N5O4				
3A12_426.022138_6.36_Neg	3A12	Neg	426.022138	6.36		C00361	HMDB0000960	135398595	2'-Deoxyguanosine 5'-diphosphate	C10H15N5O10P2				
3A12_428.036692_6.43_Pos	3A12	Pos	428.036692	6.43		C00361	HMDB0000960	135398595	2'-Deoxyguanosine 5'-diphosphate	C10H15N5O10P2				
2H5_346.055809_5.6_Neg	2H5	Neg	346.055809	5.6		C00362	HMDB0001044	135398597	2'-Deoxyguanosine 5'-monophosphate	C10H14N5O7P				
2H5_348.070361_5.68_Pos	2H5	Pos	348.070361	5.68		C00362	HMDB0001044	135398597	2'-Deoxyguanosine 5'-monophosphate	C10H14N5O7P				
2G12_505.988471_7.18_Neg	2G12	Neg	505.988471	7.18		C00286	HMDB0001440	135398599	2'-Deoxyguanosine 5'-triphosphate	C10H16N5O13P3				
2G12_508.003023_7.18_Pos	2G12	Pos	508.003023	7.18		C00286	HMDB0001440	135398599	2'-Deoxyguanosine 5'-triphosphate	C10H16N5O13P3				
3D4_307.033676_4.66_Neg	3D4	Neg	307.033676	4.66		C00365	HMDB0001409	688	2'-Deoxyuridine 5'-monophosphate	C9H13N2O8P				
3D4_309.048228_4.8_Pos	3D4	Pos	309.048228	4.8		C00365	HMDB0001409	688	2'-Deoxyuridine 5'-monophosphate	C9H13N2O8P				
3A7_466.966338_6.45_Neg	3A7	Neg	466.966338	6.45		C00460	HMDB0001191	65070	2'-Deoxyuridine 5'-triphosphate	C9H15N2O14P3				
3A7_468.980889_6.47_Pos	3A7	Pos	468.980889	6.47		C00460	HMDB0001191	65070	2'-Deoxyuridine 5'-triphosphate	C9H15N2O14P3				
5D12_149.027789_1.42_Neg	5D12	Neg	149.027789	1.42			HMDB0037115	11427	2-Hydroxy-4-(Methylthio)butyric acid	C5H10O3S				
4F7_103.040068_2.04_Neg	4F7	Neg	103.040068	2.04		C05984	HMDB0000008	11266	2-Hydroxybutyric acid	C4H8O3				
5E9._151.040068_1.53_Neg	5E9.	Neg	151.040068	1.53		C05852	HMDB0000669	11970	2-Hydroxyphenylacetic acid	C8H8O3				
6A12_145.050632_4.41_Neg	6A12	Neg	145.050632	4.41			HMDB0000422	12046	2-Methylglutaric acid	C6H10O4				
5B10_87.045154_1.77_Neg	5B10	Neg	87.045154	1.77		C02632	HMDB0001873	165337	2-Methylpropanoate	C4H8O2				
6A11_159.029897_5.08_Neg	6A11	Neg	159.029897	5.08		C00322	HMDB0000225	71	2-Oxoadipic acid	C6H8O5				
5G10_172.040403_1.33_Neg	5G10	Neg	172.040403	1.33		C06325	HMDB0000842	7124	2-Quinolinecarboxylic acid	C10H7NO2				
5G10_174.054955_1.39_Pos	5G10	Pos	174.054955	1.39		C06325	HMDB0000842	7124	2-Quinolinecarboxylic acid	C10H7NO2				
5G7_165.055718_1.32_Neg	5G7	Neg	165.055718	1.32		C01198	HMDB0033624	6930705	3-(2-Hydroxyphenyl)propanoate	C9H10O3				
6E3._181.050632_2.34_Neg	6E3.	Neg	181.050632	2.34		C03672	HMDB0000755	9548580	3-(4-Hydroxyphenyl)lactate	C9H10O4				
5F7_179.034983_1.99_Neg	5F7	Neg	179.034983	1.99		C01179	HMDB0000707	6971070	3-(4-Hydroxyphenyl)pyruvate	C9H8O4				
7C2_649.78276_2.08_Neg	7C2	Neg	649.78276	2.08		C02465	HMDB0060074	22069	"3,3',5'-Triiodothyronine"	C15H12I3NO4				
7C2_651.797313_2_Pos	7C2	Pos	651.797313	2		C02465	HMDB0060074	22069	"3,3',5'-Triiodothyronine"	C15H12I3NO4				
5E5._153.019333_4.45_Neg	5E5.	Neg	153.019333	4.45		C00230	HMDB0001856	72	"3,4-Dihydroxybenzoate"	C7H6O4				
1F9_196.061532_5.15_Neg	1F9	Neg	196.061532	5.15		C00355	HMDB0000181	6047	"3,4-Dihydroxy-L-Phenylalanine"	C9H11NO4				
1F9_198.076084_5.23_Pos	1F9	Pos	198.076084	5.23		C00355	HMDB0000181	6047	"3,4-Dihydroxy-L-Phenylalanine"	C9H11NO4				
4F5_169.050633_2.82_Neg	4F5	Neg	169.050633	2.82		C05576	HMDB0000318	91528	"3,4-Dihydroxyphenyl Glycol"	C8H10O4				
5F1_167.034983_3.16_Neg	5F1	Neg	167.034983	3.16		C01161	HMDB0001336	547	"3,4-Dihydroxyphenylacetate"	C8H8O4				
5G3_523.886128_1.77_Neg	5G3	Neg	523.886128	1.77			HMDB0000582	92859	"3,5-Diiodo-L-Thyronine"	C15H13I2NO4				
5G3_525.90067_1.8_Pos	5G3	Pos	525.90067	1.8			HMDB0000582	92859	"3,5-Diiodo-L-Thyronine"	C15H13I2NO4				
5C2_431.859913_4.25_Neg	5C2	Neg	431.859913	4.25		C01060	HMDB0003474	440331	"3,5-Diiodo-L-Tyrosine"	C9H9I2NO3				
5C2_433.874465_4.42_Pos	5C2	Pos	433.874465	4.42		C01060	HMDB0003474	440331	"3,5-Diiodo-L-Tyrosine"	C9H9I2NO3				
7A11_375.290468_1.07_Neg	7A11	Neg	375.290468	1.07		C03990	HMDB0000761	9903	3Alpha-Hydroxy-5Beta-Cholanate	C24H40O3				
5H6_152.035317_4.32_Neg	5H6	Neg	152.035317	4.32		C12115		65083	3-Amino-4-Hydroxybenzoic acid	C7H7NO3				
5H6_154.049869_4.45_Pos	5H6	Pos	154.049869	4.45		C12115		65083	3-Amino-4-Hydroxybenzoic acid	C7H7NO3				
5E3._152.035317_4.51_Neg	5E3.	Neg	152.035317	4.51		C12107		127115	3-Amino-5-Hydroxybenzoic acid	C7H7NO3				
5E3._154.049869_4.67_Pos	5E3.	Pos	154.049869	4.67		C12107		127115	3-Amino-5-Hydroxybenzoic acid	C7H7NO3				
1H4_102.056053_4.49_Neg	1H4	Neg	102.056053	4.49		C03284	HMDB0003911	64956	3-Aminoisobutanoate	C4H9NO2				
1H4_104.070605_4.54_Pos	1H4	Pos	104.070605	4.54		C03284	HMDB0003911	64956	3-Aminoisobutanoate	C4H9NO2				
2A7_171.029897_3.89_Neg	2A7	Neg	171.029897	3.89		C02637		439774	3-Dehydroshikimate	C7H8O5				
5F6_152.035317_3.44_Neg	5F6	Neg	152.035317	3.44		C00632	HMDB0001476	54675871	3-Hydroxyanthranilate	C7H7NO3				
5F6_154.049869_3.58_Pos	5F6	Pos	154.049869	3.58		C00632	HMDB0001476	54675871	3-Hydroxyanthranilate	C7H7NO3				
6D1_137.024417_2.47_Neg	6D1	Neg	137.024417	2.47		C00587	HMDB0002466	54675842	3-Hydroxybenzoate	C7H6O3				
4C5_103.040068_1.34_Neg	4C5	Neg	103.040068	1.34		C01089	HMDB0000011	441	3-Hydroxybutanoic acid	C4H8O3				
4C5_105.054621_1.4_Pos	4C5	Pos	105.054621	1.4		C01089	HMDB0000011	441	3-Hydroxybutanoic acid	C4H8O3				
2E8._161.045548_4.97_Neg	2E8.	Neg	161.045548	4.97		C03761	HMDB0000355	1662	3-Hydroxymethylglutaric acid	C6H10O5		1	KEGG ID	Formula; HMDB; Identity; PubChem
6D8_151.040067_1.32_Neg	6D8	Neg	151.040067	1.32		C05593	HMDB0000440	12122	3-Hydroxyphenylacetate	C8H8O3				
6D8_153.054621_1.3_Pos	6D8	Pos	153.054621	1.3		C05593	HMDB0000440	12122	3-Hydroxyphenylacetate	C8H8O3				
6C7_197.045547_2.43_Neg	6C7	Neg	197.045547	2.43		C05584	HMDB0133489	1245	3-Methoxy-4-Hydroxymandelate	C9H10O5				
4C3_210.077182_3.61_Neg	4C3	Neg	210.077182	3.61			HMDB0001434	1670	3-Methoxy-L-tyrosine	C10H13NO4	CID1670 is better than CID9307	1	Identity	Formula; HMDB; PubChem
5G8_168.101905_7.53_Pos	5G8	Pos	168.101905	7.53		C05587	HMDB0000022	1669	3-Methoxytyramine	C9H13NO2		1	Identity	Formula; HMDB; KEGG ID; PubChem
6A5_129.055718_1.21_Neg	6A5	Neg	129.055718	1.21			HMDB0000491	47	3-Methyl-2-Oxovaleric acid	C6H10O3				
6E2._148.062869_2.29_Neg	6E2.	Neg	148.062869	2.29		C00913	HMDB0011600	135398661	3-Methyladenine	C6H7N5				
6E2._150.077422_2.28_Pos	6E2.	Pos	150.077422	2.28		C00913	HMDB0011600	135398661	3-Methyladenine	C6H7N5				
2F7_848.149799_3.39_Neg	2F7	Neg	848.149799	3.39		C03069	HMDB0001493	99	3-Methylcrotonyl-CoA	C26H42N7O17P3S				
2F7_850.164351_3.47_Pos	2F7	Pos	850.164351	3.47		C03069	HMDB0001493	99	3-Methylcrotonyl-CoA	C26H42N7O17P3S				
5A1_145.050633_4.41_Neg	5A1	Neg	145.050633	4.41			HMDB0000752	12284	3-Methylglutaric acid	C6H10O4	KEGG not available	1	KEGG ID	Formula; HMDB; Identity; PubChem
4D3_126.102573_6.56_Pos	4D3	Pos	126.102573	6.56			HMDB0001861	69520	3-Methylhistamine	C6H11N3				
6E1._146.061137_1.37_Neg	6E1.	Neg	146.061137	1.37		C02366		150923	3-Methyloxindole	C9H9NO		1	Identity; KEGG ID; PubChem	Formula; Identity; KEGG ID; PubChem
6E1._148.075691_1.32_Pos	6E1.	Pos	148.075691	1.32		C02366		150923	3-Methyloxindole	C9H9NO		1	KEGG ID; PubChem	Identity
3C9_225.051696_4.61_Neg	3C9	Neg	225.051696	4.61			HMDB0001904	65124	3-Nitro-L-Tyrosine	C9H10N2O5				
3C9_227.066248_4.7_Pos	3C9	Pos	227.066248	4.7			HMDB0001904	65124	3-Nitro-L-Tyrosine	C9H10N2O5				
2B3_152.002302_4.93_Neg	2B3	Neg	152.002302	4.93		C00606	HMDB0000996	1549098	3-Sulfino-L-Alanine	C3H7NO4S				
2B3_154.016854_5.09_Pos	2B3	Pos	154.016854	5.09		C00606	HMDB0000996	1549098	3-Sulfino-L-Alanine	C3H7NO4S				
4B5_131.046216_3.79_Neg	4B5	Neg	131.046216	3.79		C02642	HMDB0000026	111	3-Ureidopropionate	C4H8N2O3				
4B5_133.060768_3.86_Pos	4B5	Pos	133.060768	3.86		C02642	HMDB0000026	111	3-Ureidopropionate	C4H8N2O3				
2D7_144.066617_2.52_Neg	2D7	Neg	144.066617	2.52		C02946	HMDB0003681	18189	4-Acetamidobutanoic acid	C6H11NO3		1	HMDB	Formula; Identity; KEGG ID; PubChem
2D7_146.081169_2.58_Pos	2D7	Pos	146.081169	2.58		C02946	HMDB0003681	18189	4-Acetamidobutanoic acid	C6H11NO3		1	HMDB	Formula; Identity; KEGG ID; PubChem
5H1_136.040403_2.99_Neg	5H1	Neg	136.040403	2.99		C00568	HMDB0001392	4876	4-Aminobenzoate	C7H7NO2				
5H1_138.054955_3.1_Pos	5H1	Pos	138.054955	3.1		C00568	HMDB0001392	4876	4-Aminobenzoate	C7H7NO2				
1B9_102.056053_5.12_Neg	1B9	Neg	102.056053	5.12		C00334	HMDB0000112	119	4-Aminobutyric acid	C4H9NO2		1	HMDB	Formula; Identity; KEGG ID; PubChem
1B9_104.070605_5.13_Pos	1B9	Pos	104.070605	5.13		C00334	HMDB0000112	119	4-Aminobutyric acid	C4H9NO2		1	HMDB	Formula; Identity; KEGG ID; PubChem
7A3_163.040067_2.16_Neg	7A3	Neg	163.040067	2.16		C00811	HMDB0002035	637542	4-Coumarate	C9H8O3				
7A3_165.054621_2.14_Pos	7A3	Pos	165.054621	2.14		C00811	HMDB0002035	637542	4-Coumarate	C9H8O3				
3G9_144.077851_4.92_Neg	3G9	Neg	144.077851	4.92		C01035	HMDB0003464	500	4-Guanidinobutanoate	C5H11N3O2				
3G9_146.092403_4.95_Pos	3G9	Pos	146.092403	4.95		C01035	HMDB0003464	500	4-Guanidinobutanoate	C5H11N3O2				
5B9_188.035317_1.38_Neg	5B9	Neg	188.035317	1.38		C01717	HMDB0000715	3845	4-Hydroxy-2-Quinolinecarboxylic acid	C10H7NO3				
5B9_190.049869_1.53_Pos	5B9	Pos	190.049869	1.53		C01717	HMDB0000715	3845	4-Hydroxy-2-Quinolinecarboxylic acid	C10H7NO3				
6D7_183.066282_2.03_Neg	6D7	Neg	183.066282	2.03			HMDB0001490	10805	4-Hydroxy-3-Methoxyphenylglycol	C9H12O4				
5A5_137.024418_2.99_Neg	5A5	Neg	137.024418	2.99		C00156	HMDB0000500	54675830	4-Hydroxybenzoate	C7H6O3				
4G10_166.050967_4.91_Neg	4G10	Neg	166.050967	4.91		C12323		36143	4-Hydroxy-L-Phenylglycine	C8H9NO3				
4G10_168.065519_4.99_Pos	4G10	Pos	168.065519	4.99		C12323		36143	4-Hydroxy-L-Phenylglycine	C8H9NO3				
1C3_151.040068_2.95_Neg	1C3	Neg	151.040068	2.95		C00642	HMDB0060390	127	4-Hydroxyphenylacetic acid	C8H8O3				
4C6_125.035651_3.61_Neg	4C6	Neg	125.035651	3.61		C02835	HMDB0002024	96215	4-Imidazoleacetic acid	C5H6N2O2				
4C6_127.050203_3.66_Pos	4C6	Pos	127.050203	3.66		C02835	HMDB0002024	96215	4-Imidazoleacetic acid	C5H6N2O2				
6D2_129.055718_1.2_Neg	6D2	Neg	129.055718	1.2			HMDB0000695	70	4-Methyl-2-Oxovaleric acid	C6H10O3				
6D9_123.045153_2.45_Neg	6D9	Neg	123.045153	2.45		C06730	HMDB0000873	9958	4-Methylcatechol	C7H8O2				
2C7_182.045882_1.33_Neg	2C7	Neg	182.045882	1.33		C00847	HMDB0000017	6723	4-Pyridoxate	C8H9NO4				
2C7_184.060434_1.36_Pos	2C7	Pos	184.060434	1.36		C00847	HMDB0000017	6723	4-Pyridoxate	C8H9NO4				
6A2_172.040402_1.22_Neg	6A2	Neg	172.040402	1.22		C06414		10243	4-Quinolinecarboxylic acid	C10H7NO2				
6A2_174.054955_1.26_Pos	6A2	Pos	174.054955	1.26		C06414		10243	4-Quinolinecarboxylic acid	C10H7NO2				
1F11_113.035651_1.88_Neg	1F11	Neg	113.035651	1.88		C00429	HMDB0000076	649	"5,6-Dihydrouracil"	C4H6N2O2				
1F11_115.050203_1.9_Pos	1F11	Pos	115.050203	1.9		C00429	HMDB0000076	649	"5,6-Dihydrouracil"	C4H6N2O2				
3E5._337.055475_5.36_Neg	3E5.	Neg	337.055475	5.36		C04677	HMDB0001517	65110	5-Aminoimidazole-4-Carboxamide-1-Beta-D-Ribofuranosyl 5'-monophosphate	C9H15N4O8P				
3E5._339.070027_5.47_Pos	3E5.	Pos	339.070027	5.47		C04677	HMDB0001517	65110	5-Aminoimidazole-4-Carboxamide-1-Beta-D-Ribofuranosyl 5'-monophosphate	C9H15N4O8P				
3D3_130.050967_4.38_Neg	3D3	Neg	130.050967	4.38		C00430	HMDB0001149	137	5-Aminolevulinic acid	C5H9NO3				
3D3_132.065519_4.47_Pos	3D3	Pos	132.065519	4.47		C00430	HMDB0001149	137	5-Aminolevulinic acid	C5H9NO3				
4B6_116.071703_5.14_Neg	4B6	Neg	116.071703	5.14		C00431	HMDB0003355	138	5-Aminopentanoate	C5H11NO2				
4B6_118.086255_5.14_Pos	4B6	Pos	118.086255	5.14		C00431	HMDB0003355	138	5-Aminopentanoate	C5H11NO2				
2F9_322.044576_5.74_Neg	2F9	Neg	322.044576	5.74		C00055	HMDB0000095	53410275	5'-CMP	C9H14N3O8P				
2F9_324.059128_5.84_Pos	2F9	Pos	324.059128	5.84		C00055	HMDB0000095	53410275	5'-CMP	C9H14N3O8P				
3H8_250.094563_1.83_Neg	3H8	Neg	250.094563	1.83		C05198	HMDB0001983	439182	5'-Deoxyadenosine	C10H13N5O3				
3H8_252.109115_1.84_Pos	3H8	Pos	252.109115	1.84		C05198	HMDB0001983	439182	5'-Deoxyadenosine	C10H13N5O3				
6E8._190.050966_3.89_Neg	6E8.	Neg	190.050966	3.89		C05635	HMDB0000763	1826	5-Hydroxyindoleacetate	C10H9NO3				
6E8._192.06552_3.97_Pos	6E8.	Pos	192.06552	3.97		C05635	HMDB0000763	1826	5-Hydroxyindoleacetate	C10H9NO3				
4D10_219.077516_4.76_Neg	4D10	Neg	219.077516	4.76		C00643	HMDB0000472	439280	5-Hydroxy-L-Tryptophan	C11H12N2O3				
4D10_221.092068_4.79_Pos	4D10	Pos	221.092068	4.79		C00643	HMDB0000472	439280	5-Hydroxy-L-Tryptophan	C11H12N2O3				
3B1_124.051636_2.74_Neg	3B1	Neg	124.051636	2.74		C02376	HMDB0000982	94029	5-Methylcytosine	C5H7N3O				
3B1_126.066188_2.76_Pos	3B1	Pos	126.066188	2.76		C02376	HMDB0000982	94029	5-Methylcytosine	C5H7N3O				
Flores_458.179355_4.83_Neg	Flores	Neg	458.179355	4.83			HMDB0001396	135415868	5-Methyltetrahydrofolic acid	C20H25N7O6				
Flores_460.193908_4.83_Pos	Flores	Pos	460.193908	4.83			HMDB0001396	135415868	5-Methyltetrahydrofolic acid	C20H25N7O6				
1D5_296.082284_1.52_Neg	1D5	Neg	296.082284	1.52		C00170	HMDB0001173	439176	5'-Methylthioadenosine	C11H15N5O3S				
1D5_298.096836_1.6_Pos	1D5	Pos	298.096836	1.6		C00170	HMDB0001173	439176	5'-Methylthioadenosine	C11H15N5O3S				
2C6_128.035317_3.11_Neg	2C6	Neg	128.035317	3.11		C02237		439685	5-Oxo-D-Proline	C5H7NO3	Removed bc HMDB doesn't differentiate between L and D	1	HMDB; PubChem	Identity; KEGG ID
2C6_130.049869_3.14_Pos	2C6	Pos	130.049869	3.14		C02237		439685	5-Oxo-D-Proline	C5H7NO3	Removed bc HMDB doesn't differentiate between L and D	1	HMDB; PubChem	Identity; KEGG ID
2D6_128.035317_3.1_Neg	2D6	Neg	128.035317	3.1		C01879	HMDB0000267	7405	5-Oxo-L-Proline	C5H7NO3		1	HMDB; PubChem	Identity; KEGG ID
2D6_130.049869_3.16_Pos	2D6	Pos	130.049869	3.16		C01879	HMDB0000267	7405	5-Oxo-L-Proline	C5H7NO3		1	HMDB; PubChem	Identity; KEGG ID
Flores_388.944538_7.61_Neg	Flores	Neg	388.944538	7.61				1041	5-Phospho-D-ribose 1-diphosphate	C5H13O14P3				
2F2_163.061198_3.86_Neg	2F2	Neg	163.061198	3.86		C01019	HMDB0000174	17106	6-Deoxy-L-Galactose	C6H12O5				
4A6_138.019667_3.28_Neg	4A6	Neg	138.019667	3.28		C01020	HMDB0002658	72924	6-Hydroxynicotinate	C6H5NO3				
4A6_140.034219_3.32_Pos	4A6	Pos	140.034219	3.32		C01020	HMDB0002658	72924	6-Hydroxynicotinate	C6H5NO3				
2H8_275.017358_6.88_Neg	2H8	Neg	275.017358	6.88		C00345	HMDB0001316	91493	6-Phosphogluconic acid	C6H13O10P				
2H8_277.03191_6.9_Pos	2H8	Pos	277.03191	6.9		C00345	HMDB0001316	91493	6-Phosphogluconic acid	C6H13O10P				
5H9_240.109115_3.82_Pos	5H9	Pos	240.109115	3.82		C02953	HMDB0000038	135476776	"7,8-Dihydro-L-Biopterin"	C9H13N5O3				
6E11._101.024417_1.2_Neg	6E11.	Neg	101.024417	1.2		C00164	HMDB0000060	6971017	Acetoacetate	C4H6O3		1	KEGG ID	Formula; HMDB; Identity; PubChem
6E11._103.038971_1.1_Pos	6E11.	Pos	103.038971	1.1		C00164	HMDB0000060	6971017	Acetoacetate	C4H6O3		1	KEGG ID	Formula; HMDB; Identity; PubChem
5C1_87.045154_5.04_Neg	5C1	Neg	87.045154	5.04		C00810	HMDB0003243	179	Acetoin	C4H8O2				
4D8_146.117555_5.33_Pos	4D8	Pos	146.117555	5.33		C01996	HMDB0000895	187	Acetylcholine	C7H15NO2				
